ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-223-3p,MIMAT0000280,CAT,847,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-33a-5p,MIMAT0000091,CAT,847,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-155-3p,MIMAT0004658,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,CDKN1A,1026,"Luciferase Reporter Assay, Western Blot, Chimeric fragments",tarbase,Peripheral blood
hsa-mir-17-3p,MIMAT0000071,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,CDKN1A,1026,"Luciferase Reporter Assay, HITS-CLIP, PAR-CLIP",tarbase,Peripheral blood
hsa-mir-19a-3p,MIMAT0000073,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-19a-5p,MIMAT0004490,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-19b-1-5p,MIMAT0004491,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-19b-3p,MIMAT0000074,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-20a-3p,MIMAT0004493,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-25-3p,MIMAT0000081,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-92a-1-5p,MIMAT0004507,CDKN1A,1026,Luciferase Reporter Assay,tarbase,Peripheral blood
hsa-mir-99a-5p,MIMAT0000097,CDKN1A,1026,Microarrays,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,SNRPD2,6633,Microarrays,tarbase,Peripheral blood
hsa-mir-17-3p,MIMAT0000071,RAC2,5880,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-20a-3p,MIMAT0004493,RAC2,5880,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,RAC2,5880,Microarrays,tarbase,Peripheral blood
hsa-mir-20a-5p,MIMAT0000075,RAC2,5880,Microarrays,tarbase,Peripheral blood
hsa-mir-17-3p,MIMAT0000071,CDK4,1019,"HITS-CLIP, PAR-CLIP",tarbase,Peripheral blood
hsa-mir-17-5p,MIMAT0000070,CDK4,1019,"HITS-CLIP, PAR-CLIP",tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,CDK4,1019,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-296-5p,MIMAT0000690,CDK4,1019,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-93-5p,MIMAT0000093,CDK4,1019,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-181a-5p,MIMAT0000256,TP53,7157,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-93-5p,MIMAT0000093,TP53,7157,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,TP53,7157,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,TP53,7157,Microarrays,tarbase,Peripheral blood
hsa-mir-212-3p,MIMAT0000269,TP53,7157,Microarrays,tarbase,Peripheral blood
hsa-mir-212-5p,MIMAT0022695,RPL8,6132,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,RPL8,6132,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-769-5p,MIMAT0003886,RPL8,6132,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,PLK1,5347,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-33a-5p,MIMAT0000091,PLK1,5347,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-455-3p,MIMAT0004784,PLK1,5347,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-126-3p,MIMAT0000445,PLK1,5347,Microarrays,tarbase,Peripheral blood
hsa-mir-212-3p,MIMAT0000269,PLK1,5347,Microarrays,tarbase,Peripheral blood
hsa-mir-106b-5p,MIMAT0000680,PLK1,5347,Chimeric fragments,tarbase,Peripheral blood
hsa-mir-17-5p,MIMAT0000070,PLK1,5347,Chimeric fragments,tarbase,Peripheral blood
hsa-mir-126-5p,MIMAT0000444,EEF2,1938,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-17-3p,MIMAT0000071,EEF2,1938,"PAR-CLIP, HITS-CLIP",tarbase,Peripheral blood
hsa-mir-19a-5p,MIMAT0004490,EEF2,1938,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-19b-1-5p,MIMAT0004491,EEF2,1938,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-296-5p,MIMAT0000690,EEF2,1938,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,EEF2,1938,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-455-3p,MIMAT0004784,EEF2,1938,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-940,MIMAT0004983,EEF2,1938,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-99a-5p,MIMAT0000097,EEF2,1938,Chimeric fragments,tarbase,Peripheral blood
hsa-mir-146a-5p,MIMAT0000449,CXCL10,3627,Microarrays,tarbase,Peripheral blood
hsa-mir-20a-5p,MIMAT0000075,CXCL10,3627,Microarrays,tarbase,Peripheral blood
hsa-mir-212-3p,MIMAT0000269,CXCL10,3627,Microarrays,tarbase,Peripheral blood
hsa-mir-126-5p,MIMAT0000444,PA2G4,5036,PAR-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-18a-5p,MIMAT0000072,RPS9,6203,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-181a-5p,MIMAT0000256,CFL1,1072,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-21-5p,MIMAT0000076,CFL1,1072,SILAC,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,CFL1,1072,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-455-3p,MIMAT0004784,CFL1,1072,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-92a-1-5p,MIMAT0004507,CFL1,1072,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-155-5p,MIMAT0000646,CFL1,1072,Microarrays,tarbase,Peripheral blood
hsa-mir-126-5p,MIMAT0000444,CALR,811,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-181a-5p,MIMAT0000256,CALR,811,"HITS-CLIP, PAR-CLIP, Chimeric fragments",tarbase,Peripheral blood
hsa-mir-212-5p,MIMAT0022695,CALR,811,HITS-CLIP,tarbase,Peripheral blood
hsa-mir-328-3p,MIMAT0000752,CALR,811,HITS-CLIP,tarbase,Peripheral blood
