"","GSM650659.CEL.gz","GSM650676.CEL.gz","GSM650679.CEL.gz","GSM650686.CEL.gz","GSM650691.CEL.gz","GSM650692.CEL.gz","GSM650696.CEL.gz","GSM650709.CEL.gz","GSM650713.CEL.gz","GSM650714.CEL.gz","GSM650715.CEL.gz","GSM650725.CEL.gz","GSM650728.CEL.gz","GSM650729.CEL.gz","GSM650826.CEL.gz","GSM650828.CEL.gz","GSM650835.CEL.gz","GSM650850.CEL.gz","GSM650855.CEL.gz","GSM650856.CEL.gz","GSM650869.CEL.gz"
"CDA",8.705218,9.304414,9.726431,9.197583,9.716552,9.443732,9.899936,9.066788,9.31249,9.331126,9.923721,8.881694,8.967662,8.390839,9.422156,9.163179,9.445203,9.355078,9.426831,8.586943,9.485257
"HS6ST1",7.147557,7.272037,7.539783,5.186792,7.182862,7.510707,7.015508,7.134215,7.096708,7.490231,7.192269,8.18737,7.00334,6.871194,6.898291,7.029174,7.182862,6.532926,6.034423,7.444253,6.577398
"ALPL",8.394745,8.750622,8.188886,8.469234,9.306438,8.894592,9.157808,8.420102,7.742149,7.606867,9.408381,8.445972,8.411753,6.922441,8.756503,8.264991,9.561067,10.039216,9.354369,8.601968,7.568488
"LINC00339",6.842552,7.058928,7.963169,7.062432,7.1106,7.190935,7.070914,7.138555,8.173102,7.688002,7.887828,6.863249,7.064528,7.560219,7.824201,7.731769,7.013113,6.866092,7.258034,7.214783,6.94368
"RPL11",10.818823,10.052283,10.353934,10.449679,10.887806,10.827146,9.270179,10.736878,10.441797,10.194618,10.863622,9.182724,10.673979,11.981669,10.09065,10.190807,9.670264,10.275288,9.763346,10.182117,9.488396
"PITHD1",8.389873,8.29512,8.058086,8.355382,8.812369,8.009694,8.201905,8.106156,7.906887,6.810573,8.051395,6.665395,7.709246,8.324281,8.206422,7.949594,7.216044,8.209683,8.209044,8.626368,7.299805
"RHD",5.653153,5.35201,5.728084,5.606432,5.809192,6.11482,5.345507,5.526212,6.279464,5.925953,5.675992,6.225113,5.147241,5.572536,6.744291,5.975317,5.43093,6.528556,6.072828,5.777282,6.427526
"TMEM50A",9.998389,10.123017,9.904379,9.942967,9.941276,10.138239,9.697348,9.844381,9.990621,9.946935,10.489051,9.426473,9.890502,9.912199,10.356756,9.943762,10.090966,10.23644,10.424951,9.64682,10.018468
"LDLRAP1",8.597448,8.70236,8.638827,9.262123,8.426157,8.82214,8.533907,8.755451,8.540858,8.504588,8.310007,7.960687,8.457884,8.80814,8.567383,8.368081,8.214168,8.760072,8.435242,8.601583,8.741612
"PDIK1L",7.522616,7.185139,7.447441,7.831939,7.639252,7.61683,7.443822,7.489312,7.426659,7.231347,7.361433,7.18075,7.39566,7.766777,7.609962,7.581649,7.525812,7.683272,7.714255,7.666862,7.563121
"CD52",11.143266,9.991636,10.310534,10.875226,10.974439,11.229618,10.453974,10.705599,10.839885,10.752078,11.004392,9.783554,11.108366,11.998784,10.360494,9.939491,10.383538,10.263786,10.874935,10.843754,10.103209
"ARID1A",8.185508,8.752882,8.609068,8.858283,8.278306,8.553485,8.855553,8.421111,8.387141,8.421334,8.444704,8.129433,8.638847,7.895454,8.577988,8.569663,8.633204,9.13733,8.623606,8.347772,8.889484
"ZDHHC18",9.600536,10.034256,9.93116,9.215555,10.366366,9.966646,10.454693,9.806118,10.112666,9.869225,10.524744,9.749369,10.166932,9.277667,10.045031,9.828829,10.053292,9.973179,10.153143,9.305081,9.981731
"TMA7",6.789983,5.180138,4.397916,5.052711,6.105096,5.457924,5.213857,4.992981,6.657707,6.932836,6.264919,6.645183,5.033024,7.587075,5.593206,4.675351,6.322517,5.184369,6.19045,5.567722,5.393586
"SCARNA1",7.177878,6.246201,5.99137,6.676299,6.581542,6.410726,6.525959,6.520854,6.701242,5.859398,6.1382,5.648501,6.74941,6.887999,6.369433,6.800367,6.304052,6.458052,6.730325,6.486451,6.321603
"THEMIS2",8.78723,9.198521,9.218304,8.879867,9.356295,9.069571,9.454147,8.893818,9.175785,8.888274,9.845387,8.210913,9.345539,8.755846,9.062056,8.909676,9.105507,9.372023,9.234997,8.71475,8.954937
"PHACTR4",8.035547,8.177979,7.832162,8.613544,7.874613,8.011919,7.830502,8.195216,8.266673,7.859064,8.193769,7.432963,8.222527,8.198045,8.141834,8.514576,8.29082,8.653633,8.390144,8.477839,8.545636
"EPB41",10.984553,11.333738,11.316022,11.592133,11.309586,10.839137,10.938545,11.14398,10.716877,10.313038,10.683886,10.896377,10.686943,10.476529,11.52638,11.201846,10.447005,11.41808,11.386351,11.695404,10.844082
"LCK",9.838144,9.698066,9.582235,10.180813,9.03458,9.857036,9.135631,9.882992,9.685142,9.516921,9.334176,9.240605,9.735403,9.943644,9.400092,9.611682,9.090929,9.574101,8.95483,9.300772,9.356532
"HDAC1",10.325378,10.431067,10.0978,10.617036,10.102194,10.409857,9.359269,10.498523,10.386766,10.086022,10.267962,9.088426,10.444243,10.495365,10.433388,10.555661,9.940237,10.410323,9.984188,10.120667,10.354111
"ZNF362",7.812558,7.723359,7.321913,7.811506,7.590921,7.920532,7.743295,7.907077,7.558248,7.656878,7.788515,7.319062,7.722644,7.574343,7.756893,7.744216,8.082846,7.83601,7.842623,7.814068,8.003739
"ZMYM1",7.620656,7.501398,7.131062,7.943627,7.313571,7.74381,7.304719,7.313287,7.511768,6.899628,7.10875,6.467224,7.297594,7.762138,7.868818,7.871921,7.410858,7.839402,7.999943,7.82847,7.405832
"NCDN",7.657398,7.560945,7.892238,7.522672,7.648827,7.491669,7.634681,7.706914,7.592907,7.60821,7.520202,7.742823,7.585093,7.604115,7.363533,7.460174,7.613018,7.347756,7.458375,7.353291,7.726326
"AGO4",9.125008,9.609898,9.3796,9.116579,9.782278,9.491663,10.207265,9.114416,9.507159,9.205768,9.870428,8.913034,9.843982,8.788205,9.502154,9.382751,9.421261,9.786522,9.77512,9.30224,9.343514
"THRAP3",9.333419,9.772994,9.244289,9.839795,9.322517,9.507706,9.341842,9.702934,9.558057,9.066166,9.609626,8.748359,9.605961,9.213761,9.606241,9.673187,9.436781,9.855681,9.432975,9.754684,9.435823
"RPS27",9.885641,6.961251,7.64347,8.222295,9.075298,8.786048,7.875412,8.60659,8.835654,8.940405,9.165648,7.837313,9.30455,10.918103,8.890756,8.373394,9.379379,8.510566,9.719679,8.953454,7.826033
"UTP11",7.312512,7.596385,6.792554,7.822792,7.386194,7.711733,6.832967,7.314437,7.31121,7.228957,7.255959,6.735889,7.364644,7.678368,7.571516,7.777509,8.051327,7.776989,8.284664,7.607021,7.353753
"AKIRIN1",10.283681,10.259863,10.108032,10.192975,10.2773,10.310074,10.43071,10.237696,10.507372,10.055658,10.526149,9.787724,10.258155,10.378841,10.483164,10.435537,10.562517,10.129208,10.506194,10.272622,10.49699
"NDUFS5",8.78223,8.52719,8.037445,8.211421,8.806305,8.479038,7.834505,8.644613,8.658656,8.658478,9.085567,7.879033,8.582947,9.927298,8.805504,8.75195,8.936359,8.382768,8.524777,8.445227,8.568604
"MIR30E",7.034865,7.25553,6.576783,7.004946,7.28197,7.124574,7.684745,7.190944,7.475543,6.69445,7.590188,6.733624,7.12007,7.11966,7.059515,6.470598,6.309999,7.036351,6.85475,7.065855,6.50289
"PPCS",8.59011,8.538605,8.385227,8.474365,8.659334,8.769811,8.265832,8.477849,8.591571,8.100051,8.768526,7.849572,8.736014,8.952959,8.56479,8.643643,8.212603,8.241094,8.508515,8.450381,8.607711
"PPIH",8.608024,8.293417,7.555702,8.098593,8.08771,8.270795,7.236561,8.181248,8.519739,8.162639,8.341859,7.719685,8.502179,9.017863,8.407195,8.668954,8.352882,8.022807,8.305364,8.340588,8.132672
"RNF220",7.763851,7.832975,7.759525,7.822963,7.924006,7.868791,7.958084,7.80654,7.795784,7.880819,7.643428,8.286344,7.805328,7.901487,7.619808,7.667138,7.978909,7.864226,7.771326,7.62757,8.100163
"RPS8",10.939274,10.307758,9.935724,10.330304,10.598639,10.787689,9.470564,10.483517,10.702464,10.715618,10.563221,10.186526,10.491972,11.637094,10.058447,10.612439,10.53287,10.071363,10.428511,10.433484,9.508508
"SNORD55",9.757691,8.235175,7.918968,9.048239,9.099213,8.852966,8.558371,9.105282,8.975013,8.429172,9.106292,8.237571,9.367576,9.842597,8.008624,8.218121,8.085452,8.087796,7.936894,8.585153,8.15986
"SNORD46",11.15472,9.362996,9.67303,10.523487,10.793128,10.315102,10.524066,10.387247,10.496885,10.254871,10.061636,10.754062,10.885495,11.329018,9.872466,10.314275,10.069649,10.35815,9.947972,10.553322,9.73718
"SNORD38B",6.63603,6.216845,4.757873,6.532077,6.363857,6.211035,5.657323,6.035844,6.811378,5.558772,6.0196,4.759641,6.459428,7.40788,5.908889,6.799545,6.650181,6.929788,6.902089,6.870625,6.306757
"TOE1",7.452734,7.340527,7.087797,7.486724,7.529922,7.380981,7.152064,7.23569,7.437297,7.604299,7.307752,7.449243,7.443465,7.580036,7.398857,7.517803,7.148848,7.457781,7.336137,7.151617,7.361088
"UQCRH",7.18374,6.200579,5.969685,6.814084,7.47766,6.796549,6.145747,6.140584,6.818873,6.616167,6.87347,6.54061,7.198291,7.700718,6.580398,7.10298,7.086882,6.769678,6.753286,6.959488,6.564265
"CYP4Z1",5.770938,5.23806,5.542199,5.208505,5.727622,5.509007,5.395967,5.610373,5.567327,6.145261,5.39214,7.093532,5.483439,5.378826,5.703327,5.586791,5.744089,5.484168,5.143266,5.605846,5.681981
"FOXE3",9.113441,9.001911,9.251223,8.892415,9.177129,8.997908,9.03533,9.171937,8.936088,9.035154,9.084663,9.017334,8.968484,9.04823,9.096499,8.983278,8.799207,8.659157,8.636812,8.969047,8.837749
"STRADB",10.824309,10.730241,11.093416,11.446447,11.274724,10.482774,11.064795,10.115331,10.304994,8.650396,10.076231,10.275324,9.789307,9.67237,11.34877,10.658275,9.331538,10.588659,11.173751,12.152506,10.114448
"RNF11",8.602533,8.203858,8.616967,9.252202,8.791462,8.771962,9.049691,8.291188,8.447486,7.568672,8.53565,7.898025,8.237854,8.160559,9.14798,8.701155,8.24107,9.10404,9.556094,9.229907,8.404698
"GPX7",7.561357,7.203036,7.131907,7.303149,7.003001,7.66518,6.752149,7.414384,7.047738,7.33833,7.119999,6.485177,7.022415,7.813973,7.139943,7.265656,7.255973,7.112386,7.07903,7.197925,6.979996
"SHISAL2A",8.030581,7.698008,7.522213,8.169275,7.407964,7.659281,7.387071,7.830917,8.034002,7.663096,7.741436,7.21949,7.751648,7.660242,7.483665,7.931027,7.724096,7.847664,7.521358,7.682435,7.832781
"MRPL37",8.880325,9.088998,8.725213,9.191226,8.884902,9.115,8.530535,8.999362,9.001502,8.885819,8.769031,8.45342,8.986248,9.269909,8.834867,9.003851,9.083418,9.002958,8.838779,8.898965,8.893229
"HOOK1",5.88009,5.528177,5.131077,6.260945,5.615473,5.449386,5.132609,5.767528,5.910852,5.198848,5.230885,4.819591,5.393536,6.048126,5.813247,5.828561,5.298815,5.678794,6.094297,6.729508,5.588676
"USP1",8.294788,8.042098,8.001127,8.667781,8.183982,8.554345,8.001536,8.024148,8.168226,7.587708,8.135804,7.058743,7.852178,9.00556,8.715698,8.511211,8.3155,8.575325,8.710661,8.566994,8.382549
"ATG4C",7.536289,7.134427,6.73546,7.741679,7.351816,7.640409,7.101122,7.186956,7.584767,6.995948,7.481724,6.207973,7.025207,7.840434,7.685558,7.957087,7.676344,7.864482,8.152033,8.046601,7.410044
"ALG6",7.633907,7.454189,7.133149,7.955146,7.451124,7.398706,7.333824,7.253119,7.312721,6.757739,7.352093,5.879919,7.534963,7.72018,7.945432,7.836906,7.633068,8.008153,8.374899,8.32522,7.800905
"EFCAB7",5.660451,5.665572,5.366203,5.877893,5.424792,5.636269,5.382722,5.200756,5.252159,4.852594,5.573784,4.927553,5.143662,6.277373,5.857184,6.011527,5.444819,6.27994,5.910119,6.110146,5.327347
"MIER1",9.089371,8.959834,8.960115,9.25001,9.151279,9.514405,9.213338,8.888599,9.076099,8.721871,9.246668,8.178846,8.900135,9.175922,9.29136,9.21271,9.184807,9.528357,9.879591,9.409686,9.273577
"IL23R",4.883432,5.806586,5.616914,5.096273,5.504061,5.636055,5.484014,4.97595,5.741074,5.61224,4.808251,5.490687,5.599154,4.69124,6.059034,5.304267,6.51431,4.575534,5.373495,5.621454,5.2391
"TYW3",8.037313,7.643686,7.695267,7.897703,7.878408,8.16712,6.865867,7.962049,7.874744,7.553679,7.86887,6.876836,7.959922,8.457364,8.437866,8.293059,7.912226,8.271607,8.321681,8.192893,7.753191
"ACADM",8.496119,8.259406,7.788815,8.323829,8.407383,8.619151,7.234669,8.3173,8.47584,7.942322,8.205523,7.24715,8.167518,9.004896,8.858839,8.871962,8.834959,8.602242,8.8798,8.484756,8.714903
"RABGGTB",8.273432,8.137379,7.359672,8.446934,7.834232,8.095903,7.551132,7.86048,8.1486,7.357404,7.714508,6.738877,7.893943,8.318468,8.191637,8.330179,8.214771,8.361798,8.649676,8.36935,8.197569
"SNORD45C",6.655437,6.20969,6.12507,7.088363,6.438035,6.553403,6.274732,6.228084,6.794473,6.105006,6.202557,5.760799,6.175613,6.887724,6.526046,7.391076,6.947328,7.046509,7.368574,7.084537,6.934306
"ST6GALNAC3",4.957871,4.763389,4.878427,4.312336,4.601803,4.59457,5.286132,5.078052,5.251602,5.558369,5.022337,6.01666,4.603608,5.022256,5.068018,4.112376,5.193016,5.405989,5.374261,5.876913,5.121112
"ST6GALNAC5",6.238131,4.440072,5.077708,4.662689,6.030356,4.148998,5.028917,5.184388,5.705517,6.331578,5.700608,7.48539,5.154923,5.188958,5.202687,5.724403,7.121607,4.388228,4.814416,5.302485,4.911709
"AK5",7.573758,6.760332,6.689445,7.804554,7.270901,6.867221,6.341842,6.988387,7.25758,6.93633,6.556167,6.267041,7.321774,7.622572,7.428369,6.782798,7.004476,7.719063,7.214361,7.876594,6.737538
"MIGA1",8.066642,8.05312,7.607406,8.4726,7.75147,8.120726,7.724364,7.884844,8.085143,7.507826,7.786595,6.822083,7.883891,8.096359,8.177987,8.20503,7.997131,8.413745,8.433439,8.417897,8.040639
"DNAJB4",6.759834,6.391445,6.773029,7.893152,6.577257,7.251091,6.92731,6.371637,6.641944,5.699374,6.544999,6.028608,6.182383,7.478425,7.201036,7.149454,6.862506,7.100431,7.627425,8.352577,6.957325
"IFI44L",8.481339,6.96474,7.249937,9.968059,9.347248,9.190745,8.676046,8.861616,8.462794,7.636996,9.838368,6.273661,8.507686,9.080835,8.449759,7.999516,10.033336,8.162815,8.790325,9.179203,12.402589
"IFI44",7.79907,7.168752,6.590054,8.867321,8.681485,8.559668,7.890583,8.06328,8.043085,6.715066,9.036462,5.568839,8.103681,8.463329,7.659708,7.875197,8.983469,7.987336,8.384192,8.709349,11.011118
"PRKACB",10.347522,9.591295,9.746266,10.541598,9.728937,10.411045,9.50545,10.054922,10.007583,9.75461,9.483098,8.73609,9.737439,10.742506,10.198858,10.495683,10.123347,10.484748,10.516778,10.653999,9.886081
"RPF1",8.115658,7.246278,7.071295,7.823742,7.977399,8.001261,6.946237,7.691137,7.843721,7.463533,7.679446,6.853757,7.872125,8.755037,8.195014,8.101162,8.25097,8.014444,8.574365,8.175542,8.062242
"SH3GLB1",9.564454,9.698082,9.194691,9.497474,9.994801,9.833682,9.862008,9.404723,9.626235,9.06264,9.745009,8.807306,9.396449,9.489791,9.644934,9.618516,9.592201,9.811811,9.965468,9.415948,9.86037
"HS2ST1",8.232088,8.241839,8.010951,8.386297,8.082739,8.425325,8.001598,8.1453,8.402003,7.436196,8.027926,7.319522,8.098939,8.52126,8.327581,8.451968,8.349054,8.59887,8.787364,8.690676,8.110677
"LMO4",7.384934,7.512248,7.159899,7.417269,7.51366,7.724505,7.531211,7.289982,7.553061,6.620517,7.624424,6.414757,7.335021,7.616684,7.188072,7.288437,7.288773,7.308313,7.542404,7.074995,7.382443
"PKN2",9.805216,9.969631,9.596497,9.581438,9.986551,10.17643,10.634332,9.554382,9.9504,9.413782,10.230682,8.97733,9.722229,9.601204,10.185723,9.86082,10.145701,10.182038,10.870247,10.269658,9.64606
"ZNF326",7.495824,7.458514,6.959462,7.638492,7.289877,7.566968,6.611493,7.26618,7.421324,6.812104,7.228206,5.962473,6.770202,7.583362,7.617768,7.3856,7.006905,7.507516,7.662974,7.525146,7.21756
"CDC7",5.740398,5.663072,5.740334,6.28174,6.049677,5.826072,5.602874,6.067321,5.836482,5.673438,5.54031,5.509961,5.771654,6.151674,6.279958,5.981494,6.033758,6.034433,6.570352,7.164245,5.97047
"RPAP2",7.789987,7.668809,7.368202,8.053533,7.500505,7.743183,7.23347,7.595907,7.787716,7.071172,7.156857,6.253975,7.396115,7.948155,7.939909,8.157643,7.629265,7.911061,8.254826,8.076356,7.693569
"SNORD21",8.848269,7.774136,7.441555,8.677981,8.23763,8.107775,8.180772,8.083067,8.498799,7.728516,7.846988,7.126746,8.288179,8.947968,8.407554,8.710026,8.109055,8.855818,8.773541,8.922076,8.126291
"MTF2",9.469859,9.155648,8.981268,9.60083,9.013967,9.400625,8.655143,9.314429,9.414184,8.719274,9.100092,8.07803,9.265333,9.673603,9.460887,9.5577,9.340877,9.516449,9.501436,9.600242,9.372666
"CCDC18",5.663313,5.713354,5.357619,5.726838,5.669798,5.858114,5.376718,5.413824,5.53523,4.931396,5.572552,4.606204,5.351464,5.861407,5.859214,6.315414,5.348241,6.452483,6.092843,6.351588,5.710542
"ABCD3",8.746087,8.521669,8.104181,8.855422,8.287581,8.640867,8.374545,8.505148,8.654843,8.114752,8.341455,7.479433,8.391548,8.840962,8.853182,8.965715,8.655598,8.909949,9.159002,8.939266,8.783276
"PTBP2",8.65392,8.466346,8.119582,9.244047,8.383445,8.777783,8.407047,8.26722,8.818911,7.834747,8.25057,7.20478,8.318861,8.394116,8.920887,8.93859,8.861895,9.121374,9.62979,9.60513,8.725399
"AGL",8.04228,7.783726,7.46149,8.282866,7.651791,8.015366,7.566316,7.951721,7.89775,7.231935,7.694494,6.92482,7.82319,7.984847,8.31507,8.210546,7.548835,8.711514,8.455764,8.499124,7.854956
"SLC35A3",8.253577,8.248644,7.949559,8.732942,8.039533,8.413922,7.893097,8.197078,8.297959,7.445977,7.971145,6.721145,8.031854,8.647932,8.389697,8.597822,8.373989,8.6622,8.701825,8.663021,8.426648
"TRMT13",8.318456,8.054806,7.450987,8.742315,7.945533,8.373337,7.429705,8.039754,8.233294,7.657992,7.663076,7.045095,7.878363,8.667827,8.448755,8.595435,8.280606,8.737541,8.843305,8.677416,8.134687
"RNPC3",8.872255,8.783322,8.274028,8.874456,8.800984,8.819403,8.793822,8.707709,8.956389,8.74675,8.793732,8.262782,8.765652,8.985512,8.723623,8.76927,8.931359,9.103473,9.633263,9.542637,9.08182
"FAM102B",7.842912,7.826109,7.267789,8.239403,7.662194,7.870581,7.676803,7.637889,7.859024,7.20765,7.765326,6.695061,7.844391,8.079149,8.315222,8.221963,7.722958,8.29671,8.08024,8.228063,8.455683
"PRPF38B",9.292604,9.209202,8.903084,9.257192,9.298472,9.351392,8.329242,9.090663,9.34294,8.59509,9.142608,8.056203,9.24444,9.398705,9.336513,9.258957,9.014996,9.234398,9.261226,8.914469,8.781645
"STXBP3",9.15233,9.297276,8.730749,8.986414,9.345977,9.370703,9.014949,8.988191,9.230205,8.777177,9.309172,8.408696,8.893534,9.27766,9.582742,9.317097,9.462068,9.420434,10.060766,9.523605,9.217005
"ELAPOR1",8.013504,9.630974,9.202647,8.185975,8.827519,7.791887,9.573655,8.093092,8.307079,7.139249,9.114907,7.23087,8.86437,6.991407,9.483196,7.180267,6.909328,8.258204,9.650139,8.259633,7.651263
"GNAI3",9.810027,9.821014,9.547335,9.766822,9.932728,10.241304,10.028159,9.646524,9.763381,9.125779,9.933818,8.883283,9.664733,9.732519,9.862335,9.859557,9.835971,9.835745,10.441883,9.933602,9.853472
"MIR197",8.243588,8.2467,8.341734,8.087919,8.547656,8.158327,8.833214,8.286221,8.333832,8.927901,8.438694,9.473109,8.271426,7.925718,8.224871,8.237585,8.393383,8.236601,8.487746,8.093122,8.132487
"GSTM1",6.558733,7.432628,6.727627,6.033802,6.042617,6.210434,6.006309,6.748878,6.94783,7.175045,5.772859,6.082822,6.394565,6.751265,5.89544,5.72957,5.65848,6.13602,7.709227,7.27226,5.768227
"GSTM5",5.118411,5.432488,4.88496,5.07897,5.235719,5.058373,4.929396,5.092969,5.066477,5.914749,4.964357,5.912889,4.969193,4.904365,5.022777,5.39866,5.429141,5.375666,5.278187,5.919689,4.862379
"AHCYL1",7.980992,8.445549,8.259601,8.419489,8.017604,8.081164,8.34445,8.207398,8.410818,7.835868,8.265539,7.610338,8.374781,7.86349,8.396684,8.191461,7.972772,8.664002,8.141077,8.288936,8.280381
"CEPT1",9.402423,9.062284,8.808627,9.638268,9.309266,9.372848,8.964207,8.940461,9.401716,8.730422,9.142285,7.767305,9.054038,9.730828,9.6216,9.689302,9.447137,9.520482,9.796482,9.737529,9.206787
"CHI3L2",8.126265,6.942808,7.360905,8.155044,6.778817,8.436473,6.529945,7.589036,7.442051,7.493651,7.510045,6.783504,7.887532,8.957291,7.793929,8.319303,7.622064,8.11444,7.268274,8.177545,7.48326
"CHIAP2",4.99454,4.943006,5.334593,4.63501,4.76757,4.450615,4.849841,4.841024,4.86911,5.897383,4.419912,6.257797,4.997252,4.92204,5.521967,4.981404,5.683955,4.973071,4.708938,4.537597,5.106795
"C1orf162",8.944856,10.098471,9.238745,9.999025,9.806965,9.778093,9.59671,9.542195,9.374104,9.581513,9.728627,9.183396,9.32903,9.319199,9.892893,9.906094,10.21604,10.313531,10.136323,10.143703,10.476369
"MOV10",7.92621,7.940258,8.069001,8.297491,7.875239,8.171366,7.74541,8.067397,8.085096,7.837149,8.094998,7.685117,8.381475,8.079754,8.003592,8.074951,7.87262,8.126113,7.823789,8.178659,8.996528
"SLC22A15",8.460364,8.637386,8.369847,7.849715,8.531712,8.423552,9.532938,8.247591,8.809289,8.070222,9.569697,7.901387,8.936386,7.910646,8.701263,8.424598,8.860044,8.885659,9.382927,8.961784,9.115791
"TENT5C",10.40549,10.695258,11.006758,11.634004,10.810796,10.415273,10.97649,10.382485,9.81781,8.984716,9.851849,10.54697,9.586067,9.596763,11.251015,10.51908,9.875771,11.300825,10.85011,11.931999,10.069623
"WDR3",6.945096,7.080509,6.751851,7.433553,6.839046,7.157143,6.618708,7.050793,7.039188,6.440396,6.829366,6.237265,7.107898,7.287493,7.152976,7.120308,6.790497,7.074166,7.286217,7.776216,7.067468
"HSD3BP4",6.406211,6.329468,6.253081,6.160242,6.00338,6.1472,6.734979,6.778808,6.595623,7.386339,6.576718,7.94644,6.81725,6.243056,6.527535,7.120044,7.518396,6.112555,6.80551,6.191582,6.410848
"LINC00328",9.573699,9.566831,9.908648,9.187714,9.69208,9.325956,9.751316,9.678061,10.012846,11.060473,9.504552,11.349632,9.869893,9.137769,9.042389,9.749183,10.412055,9.161381,9.367566,9.188457,9.780077
"RBM8A",7.082049,7.44777,7.462063,7.84719,7.20877,7.671743,7.286659,7.096555,7.255009,7.659283,7.182376,6.969091,7.342635,7.339455,7.324294,7.652669,7.808667,8.073203,8.083336,8.083759,7.681795
"PEX11B",8.300033,8.102383,7.564916,8.107028,7.881475,8.221619,7.95374,8.043302,8.001565,7.957868,8.053105,7.472984,8.197921,8.388884,8.15186,8.021862,8.018313,8.199253,8.236536,8.058399,7.951207
"RNF115",8.019117,8.034851,7.900051,8.132162,7.932209,7.921601,7.546426,7.825813,7.985629,7.368306,7.841271,6.954712,8.043029,7.956513,7.91028,8.342164,7.546648,7.996463,8.102534,8.238455,7.9041
"ABHD17A",7.723615,7.852557,8.064016,8.036847,7.791654,7.953323,7.915901,8.137161,7.586252,7.323266,7.992217,6.395305,7.586351,8.008021,7.809653,7.924329,7.883796,8.034795,7.823468,7.913339,7.838177
"RNVU1-3",6.641363,6.235832,6.202053,7.308075,6.317185,6.451817,6.221609,6.616703,6.476953,6.297604,6.551526,5.87378,6.016895,6.746217,6.418766,6.877417,6.324187,6.705829,6.503914,6.409818,6.463046
"RNVU1-19",7.484505,6.426837,6.492423,7.425012,7.022688,6.804098,6.730898,7.504577,7.021341,6.882101,7.117808,6.778734,7.392278,8.094137,6.719935,7.306778,6.837229,5.964471,7.324338,6.707818,6.643275
