"","GSM650659.CEL.gz","GSM650676.CEL.gz","GSM650679.CEL.gz","GSM650686.CEL.gz","GSM650691.CEL.gz","GSM650692.CEL.gz","GSM650696.CEL.gz","GSM650709.CEL.gz","GSM650713.CEL.gz","GSM650714.CEL.gz","GSM650715.CEL.gz","GSM650725.CEL.gz","GSM650728.CEL.gz","GSM650729.CEL.gz","GSM650826.CEL.gz","GSM650828.CEL.gz","GSM650835.CEL.gz","GSM650850.CEL.gz","GSM650855.CEL.gz","GSM650856.CEL.gz","GSM650869.CEL.gz"
"LINC01128",6.906442,7.198315,7.186099,7.296602,6.80863,6.999142,6.981611,6.834657,7.24934,7.059072,7.329992,7.121044,7.504075,7.420045,6.931073,7.432651,7.400328,7.510892,7.411977,7.581309,7.732369
"ISG15",7.818835,7.653704,8.251708,8.035551,7.9311,8.297684,8.299747,7.942194,7.843039,7.957244,8.378711,7.907336,7.914256,8.030161,7.29214,6.924464,7.551829,7.71536,6.954788,7.310003,8.238479
"SLC25A33",8.695718,8.709581,8.708811,8.459994,8.650054,8.387098,8.567997,8.829396,8.561444,8.411551,8.491767,8.359148,8.644014,8.742646,8.522925,8.372858,8.122176,8.0275,8.031494,8.306064,8.310499
"RBP7",6.481948,6.665605,7.065216,6.349913,7.499084,6.973699,7.058077,6.405605,6.91288,7.014063,7.977382,6.200864,6.810367,7.180123,6.910874,7.215533,6.611417,6.667153,7.458872,6.801707,6.626787
"PGD",9.810405,10.507621,10.139465,10.319822,10.340524,10.436695,10.416218,10.087888,9.902462,9.992537,10.820726,9.397798,10.229169,9.551669,10.546762,10.244057,9.876214,10.633884,10.443538,9.829885,10.570067
"UBIAD1",8.628962,8.445048,8.284839,8.698456,8.267199,8.626412,8.56628,8.554783,8.684084,8.242854,8.396397,8.083217,8.456598,8.709153,8.655758,8.631327,8.396405,8.511595,8.327949,8.661357,8.5583
"RNU5E-1",11.145475,7.193018,7.944257,9.06465,8.737733,8.036105,8.069541,8.736238,8.772644,7.715068,9.565133,8.433535,10.773807,10.33837,8.511612,8.413328,8.87685,8.947435,9.216434,9.933896,9.048472
"PLOD1",7.419824,7.667016,7.692252,7.428972,7.730106,7.606869,7.641278,7.643063,7.480468,7.382655,7.925703,7.336432,7.597024,7.278036,7.434148,7.627428,7.457901,7.416515,7.423872,7.158733,7.583658
"TNFRSF1B",9.605945,10.191375,9.970592,10.019541,9.979879,10.15489,10.520187,10.115241,10.002363,9.684847,10.609774,9.261724,10.094307,9.347082,9.947243,9.545858,9.819741,9.876683,9.652619,9.473887,10.205921
"TMEM51-AS1",6.253223,6.260343,6.244059,6.014141,6.228812,6.017375,6.111551,6.08798,6.221755,7.281309,6.18615,8.185244,6.166362,5.948814,6.187186,6.552581,7.432813,6.692476,6.191025,6.368091,6.333741
"PADI4",7.838272,8.439527,8.724607,8.26216,8.972642,8.504736,9.069348,8.142088,8.31296,8.004174,9.532007,7.686932,8.346429,7.591308,7.987244,8.239011,7.788739,8.447499,8.522077,7.446049,8.44444
"RPS14P3",8.30416,7.941745,7.460705,7.917073,7.926181,8.206176,7.3173,7.793699,7.972841,7.941653,7.934273,7.611936,7.921465,8.727107,7.680047,7.493723,7.41378,7.57373,7.486317,7.577577,7.077825
