"","GSM650876.CEL.gz","GSM650877.CEL.gz","GSM650878.CEL.gz","GSM650879.CEL.gz","GSM650880.CEL.gz","GSM650883.CEL.gz","GSM650885.CEL.gz","GSM650923.CEL.gz","GSM650924.CEL.gz","GSM650930.CEL.gz","GSM650931.CEL.gz","GSM650944.CEL.gz","GSM650946.CEL.gz","GSM650950.CEL.gz","GSM650951.CEL.gz","GSM650954.CEL.gz","GSM650959.CEL.gz","GSM650968.CEL.gz","GSM650969.CEL.gz","GSM650970.CEL.gz","GSM650975.CEL.gz"
"OR2G2",5.699718,5.179986,5.879659,6.352144,5.454163,5.994778,6.02327,5.734772,5.401477,6.420924,6.463435,5.865408,5.195232,5.912147,6.11321,5.600462,6.134414,6.040538,5.563838,5.887378,5.56025
"OR2L8",6.252046,6.891414,7.033669,7.765378,7.132093,7.665631,5.908531,6.70336,7.321804,8.885504,8.0496,7.46982,6.315643,6.948347,6.835392,5.573879,7.097179,7.846529,7.67432,7.607605,8.456169
"OR2AK2",5.621515,6.221669,6.64341,6.383336,6.236087,6.66988,5.577424,6.27481,6.495995,7.013534,6.191936,5.822808,5.201306,5.618776,5.397998,4.932573,5.329721,6.086459,6.129106,6.042635,6.962731
"OR2L2",5.627788,6.616074,6.93939,6.989135,6.954021,7.791361,5.92812,6.521818,6.792841,7.734687,7.066782,6.846708,5.905263,6.557416,6.452048,5.807437,6.750419,6.606703,6.870048,6.719887,7.694778
"OR2M4",5.803876,5.213582,6.140784,5.91382,5.808933,5.726717,5.625474,5.802889,5.932009,6.037529,6.360065,6.059937,5.410958,6.133895,5.836113,5.649393,6.184822,6.108663,5.930197,5.677748,5.72542
"OR2T4",5.424285,4.306676,4.558097,5.088723,4.896411,4.355635,4.793947,5.632751,5.288581,5.806502,5.670021,5.201695,4.813898,5.406238,5.215669,4.873956,4.97685,5.420009,5.036698,4.859414,4.703455
"OR2T1",6.537453,5.778504,6.161507,6.969145,5.909551,6.048261,6.540474,6.797612,6.484023,6.913968,7.143738,6.579833,6.229626,6.311154,6.879335,6.186524,6.64644,6.661008,6.600652,6.374657,6.13597
"OR2G6",6.127301,6.124315,5.629599,6.446635,5.810743,5.237473,6.313758,6.346872,6.376603,6.58292,6.709613,6.383293,6.022626,6.087321,6.314002,5.975859,6.24551,6.36559,6.309011,5.682681,5.637181
"PGBD2",6.611108,6.869394,6.882711,6.606174,6.762393,7.220614,7.075384,6.311031,6.678944,6.432912,6.011119,5.945559,6.622408,6.71671,6.16827,6.508696,6.179944,6.357273,6.311837,6.593291,6.787569
"NADK",9.51577,9.589139,9.537097,8.5621,9.103304,9.301717,9.418941,9.608673,9.823416,8.733402,9.73751,9.894113,9.374134,8.732076,9.413132,9.547428,9.222511,9.284766,9.272626,9.417296,9.229346
"PRDM16-DT",7.47562,7.798255,7.202874,7.839095,6.799609,7.53593,7.719704,7.917379,7.185804,7.679888,7.919576,7.941652,7.524322,7.701609,7.787886,7.343003,8.274845,7.505579,7.800986,7.253911,7.558348
